Embedding Model,Backbone Time (ms),Backbone Std,Device
resnet50,179.0524673461914,18.940633103265007,cpu
convnextv2_tiny,211.65676593780518,16.254624217185174,cpu
convnextv2_base,675.2339124679565,91.76277623220767,cpu
dinov2_small,160.04331588745117,15.832225362953473,cpu
dinov2_base,596.0525941848755,36.99719612322473,cpu
dinov2_small_gap,163.85820865631104,16.247918256822125,cpu
dinov2_base_gap,637.0683526992798,94.02242378874116,cpu
dinov3_small,143.48016262054443,17.81940304190448,cpu
dinov3_base,493.75789642333984,55.169058577597795,cpu
dinov3_small_gap,141.6571807861328,14.41493927875502,cpu
dinov3_base_gap,484.6258354187012,36.29266076561924,cpu
siglip_base,473.3952856063843,31.45628783002532,cpu
siglip_so400m,7630.4461669921875,187.31320207248623,cpu
siglip2_base,477.6886987686157,33.59346356591486,cpu
siglip2_so400m,8220.330572128296,878.3682442522874,cpu
bioclip_v1,454.0814685821533,63.24958264103412,cpu
bioclip_v2,2394.89981174469,323.3109255912121,cpu
clip_base,452.45087146759033,34.91279892027947,cpu
clip_large,2268.9719772338867,153.97321587738801,cpu
