filepath,species,genus,family,split,ivc_score,ivc_category
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_caraya\179226232_311996244.jpg,Alouatta caraya,Alouatta,Atelidae,query,3,Medio
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_caraya\180717648_314846946.jpg,Alouatta caraya,Alouatta,Atelidae,query,3,Medio
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_caraya\187182458_327289173.jpg,Alouatta caraya,Alouatta,Atelidae,query,3,Medio
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_caraya\187566132_328042936.jpg,Alouatta caraya,Alouatta,Atelidae,query,3,Medio
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_caraya\188156402_329228797.jpg,Alouatta caraya,Alouatta,Atelidae,query,3,Medio
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_caraya\188156405_329229154.jpg,Alouatta caraya,Alouatta,Atelidae,query,3,Medio
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_caraya\191626081_336213345.jpg,Alouatta caraya,Alouatta,Atelidae,query,3,Medio
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_caraya\199231441_351316381.jpg,Alouatta caraya,Alouatta,Atelidae,gallery,3,Medio
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_caraya\200337448_353436574.jpg,Alouatta caraya,Alouatta,Atelidae,gallery,3,Medio
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_caraya\201750157_356188680.jpg,Alouatta caraya,Alouatta,Atelidae,gallery,3,Medio
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_caraya\201750182_356188714.jpg,Alouatta caraya,Alouatta,Atelidae,gallery,3,Medio
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_caraya\204488530_361454677.jpg,Alouatta caraya,Alouatta,Atelidae,query,3,Medio
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_caraya\205175936_362745049.jpg,Alouatta caraya,Alouatta,Atelidae,query,3,Medio
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_caraya\205376882_363137056.jpg,Alouatta caraya,Alouatta,Atelidae,query,3,Medio
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_caraya\213838174_377926889.jpg,Alouatta caraya,Alouatta,Atelidae,query,3,Medio
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_caraya\215148066_380349894.jpg,Alouatta caraya,Alouatta,Atelidae,query,3,Medio
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_caraya\215803746_381577993.jpg,Alouatta caraya,Alouatta,Atelidae,query,3,Medio
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_caraya\216571696_383029060.jpg,Alouatta caraya,Alouatta,Atelidae,query,3,Medio
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_caraya\216573054_383031317.jpg,Alouatta caraya,Alouatta,Atelidae,query,3,Medio
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_caraya\216573604_383032237.jpg,Alouatta caraya,Alouatta,Atelidae,gallery,3,Medio
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_caraya\226298541_401321951.jpg,Alouatta caraya,Alouatta,Atelidae,query,3,Medio
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_caraya\244766639_436654930.jpg,Alouatta caraya,Alouatta,Atelidae,query,3,Medio
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_caraya\245150266_437408757.jpg,Alouatta caraya,Alouatta,Atelidae,query,3,Medio
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_caraya\246379372_439829152.jpg,Alouatta caraya,Alouatta,Atelidae,query,3,Medio
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_caraya\249091929_445203091.jpg,Alouatta caraya,Alouatta,Atelidae,query,3,Medio
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_caraya\249091949_445203312.jpg,Alouatta caraya,Alouatta,Atelidae,gallery,3,Medio
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_caraya\249091950_445203329.jpg,Alouatta caraya,Alouatta,Atelidae,query,3,Medio
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_caraya\249091951_445203344.jpg,Alouatta caraya,Alouatta,Atelidae,query,3,Medio
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_caraya\249716010_446448978.jpg,Alouatta caraya,Alouatta,Atelidae,gallery,3,Medio
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_caraya\253762333_454436016.jpg,Alouatta caraya,Alouatta,Atelidae,query,3,Medio
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_caraya\258145401_463109681.jpg,Alouatta caraya,Alouatta,Atelidae,query,3,Medio
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_caraya\259057486_464946761.jpg,Alouatta caraya,Alouatta,Atelidae,query,3,Medio
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_caraya\259057487_464946733.jpg,Alouatta caraya,Alouatta,Atelidae,query,3,Medio
