Embedding Model,Num Classes,Samples,Accuracy,F1 Score Macro,Precision Macro,Recall Macro,Latency per image (ms),Outlier Rate
resnet50,5,176,0.9024607565500002,0.8370473703101619,0.86750182594967,0.8249096370047866,179.09868068016536,0.16382247789950805
resnet50,10,449,0.8235764271225794,0.8056672564810705,0.8306737507149554,0.7969973039558085,179.10429309182865,0.1083069961347489
resnet50,20,756,0.7402933114536402,0.6730678216672172,0.7093902524192252,0.6696486638205488,179.12219186728788,0.09482816410904796
resnet50,30,1172,0.7092137731022918,0.6676150124844277,0.7025170506571439,0.6620105948776482,179.08330540294295,0.08484250799261475
resnet50,50,2041,0.6312576011159935,0.5835245265870912,0.621539957520937,0.5830686793365869,179.0786985075561,0.07615601409483375
resnet50,70,2846,0.5834729623763802,0.5309605557061795,0.5618626467568959,0.5308952346455967,179.0892100731169,0.07055421462449657
resnet50,91,3674,0.5476320087098531,0.48813647839598334,0.5184774250960359,0.4919099382488853,179.08381644254,0.06069678824169842
convnextv2_tiny,5,218,0.9035723612391303,0.8860685388708486,0.8781800130364774,0.9104018268336175,211.86365838303112,0.06679529469673563
convnextv2_tiny,10,393,0.8784217996754137,0.8409264432762645,0.8522230804651716,0.8558269987480935,211.78657127849797,0.07946930759176081
convnextv2_tiny,20,848,0.7796826698927591,0.7527306076575913,0.7673461488341868,0.7563000685087737,211.71520774388682,0.07255398700658913
convnextv2_tiny,30,1208,0.7501326170400872,0.6993170153759889,0.7144770491137322,0.7061772574230263,211.67955233601515,0.09092415940740028
convnextv2_tiny,50,2000,0.6813079042286494,0.6381395435780114,0.6624490124078892,0.64335589047585,211.6736595135651,0.07651752472781877
convnextv2_tiny,70,2813,0.6120777363300643,0.5593344190512501,0.5818696627171475,0.5728979575064705,211.68148787779097,0.07232459145088437
convnextv2_tiny,91,3674,0.58056614044638,0.5277080568945819,0.5552111262049383,0.5411115194720254,211.68432162642412,0.07212847033206314
convnextv2_base,5,178,0.9483067139106257,0.9087449225737251,0.9130935466151031,0.9317417164460731,675.259315334382,0.11030262860717222
convnextv2_base,10,403,0.9032027061486655,0.8734155333721845,0.8805194792559548,0.8789582298729796,675.2529924426874,0.09071332727824796
convnextv2_base,20,810,0.8170937821643012,0.7830526718640191,0.8009727954513813,0.7865586772221528,675.2506688946032,0.08746524304512494
convnextv2_base,30,1206,0.7713336951571115,0.71131311784356,0.7252889154440556,0.7116542849941091,675.2481338394024,0.07825800981265016
convnextv2_base,50,2047,0.7060195117588565,0.6346774296635389,0.655966070796205,0.6459309307785451,675.2453257851575,0.07881538628743985
convnextv2_base,70,2753,0.6716198762537455,0.591555507075096,0.6136439088062403,0.5996003698847245,675.2582400272838,0.0771653009315029
