carpeta,filename,d_min_dino,resultado_u1,especie_predicha,d_min_centroid,resultado_u2
A,08030020.JPG,0.436365,PASA,Panthera onca,0.2466,BAJA_CONFIANZA
A,08030034.JPG,0.432641,PASA,Panthera onca,0.253654,BAJA_CONFIANZA
A,08030071.JPG,0.444392,PASA,Panthera onca,0.267291,BAJA_CONFIANZA
A,08030078.JPG,0.450848,PASA,Herpailurus yagouaroundi,0.258374,BAJA_CONFIANZA
A,08030088.JPG,0.450906,PASA,Panthera onca,0.259773,BAJA_CONFIANZA
A,08030089.JPG,0.445555,PASA,Cuniculus paca,0.270115,BAJA_CONFIANZA
A,08030102.JPG,0.444683,PASA,Cuniculus paca,0.262492,BAJA_CONFIANZA
A,08030107.JPG,0.451516,PASA,Herpailurus yagouaroundi,0.252817,BAJA_CONFIANZA
A,08030143.JPG,0.454158,PASA,Panthera onca,0.257206,BAJA_CONFIANZA
A,08030148.JPG,0.447394,PASA,Herpailurus yagouaroundi,0.262132,BAJA_CONFIANZA
A,08030154.JPG,0.438554,PASA,Panthera onca,0.254549,BAJA_CONFIANZA
A,08030168.JPG,0.443926,PASA,Panthera onca,0.25944,BAJA_CONFIANZA
A,08030175.JPG,0.440903,PASA,Panthera onca,0.256992,BAJA_CONFIANZA
A,08030202.JPG,0.448657,PASA,Panthera onca,0.239376,BAJA_CONFIANZA
A,08030205.JPG,0.440688,PASA,Herpailurus yagouaroundi,0.257885,BAJA_CONFIANZA
A,08030225.JPG,0.438561,PASA,Panthera onca,0.237803,BAJA_CONFIANZA
A,08030226.JPG,0.456066,PASA,Panthera onca,0.240015,BAJA_CONFIANZA
A,08030231.JPG,0.428918,PASA,Panthera onca,0.234648,BAJA_CONFIANZA
A,08030271.JPG,0.444549,PASA,Panthera onca,0.245109,BAJA_CONFIANZA
A,08030285.JPG,0.439117,PASA,Panthera onca,0.236956,BAJA_CONFIANZA
A,08030296.JPG,0.44315,PASA,Panthera onca,0.23744,BAJA_CONFIANZA
A,08030306.JPG,0.445972,PASA,Panthera onca,0.24204,BAJA_CONFIANZA
A,08030307.JPG,0.450499,PASA,Panthera onca,0.246095,BAJA_CONFIANZA
A,08030315.JPG,0.436705,PASA,Panthera onca,0.244709,BAJA_CONFIANZA
A,08030338.JPG,0.450327,PASA,Panthera onca,0.242911,BAJA_CONFIANZA
A,08030349.JPG,0.438936,PASA,Panthera onca,0.239093,BAJA_CONFIANZA
A,08030353.JPG,0.44739,PASA,Panthera onca,0.232872,BAJA_CONFIANZA
A,08030355.JPG,0.425542,PASA,Panthera onca,0.241632,BAJA_CONFIANZA
A,08030358.JPG,0.432144,PASA,Panthera onca,0.247979,BAJA_CONFIANZA
A,08030377.JPG,0.442086,PASA,Panthera onca,0.248595,BAJA_CONFIANZA
A,08030403.JPG,0.447451,PASA,Panthera onca,0.239393,BAJA_CONFIANZA
A,08030407.JPG,0.470837,PASA,Panthera onca,0.265326,BAJA_CONFIANZA
A,08030408.JPG,0.450437,PASA,Panthera onca,0.265428,BAJA_CONFIANZA
A,08030418.JPG,0.4401,PASA,Panthera onca,0.245709,BAJA_CONFIANZA
A,08030421.JPG,0.485906,PASA,Panthera onca,0.250913,BAJA_CONFIANZA
A,08030426.JPG,0.488576,PASA,Panthera onca,0.264185,BAJA_CONFIANZA
A,08030430.JPG,0.499149,PASA,Panthera onca,0.258536,BAJA_CONFIANZA
A,08030433.JPG,0.52334,PASA,Herpailurus yagouaroundi,0.244338,BAJA_CONFIANZA
A,08030445.JPG,0.443011,PASA,Herpailurus yagouaroundi,0.255222,BAJA_CONFIANZA
A,08030456.JPG,0.418255,PASA,Herpailurus yagouaroundi,0.255654,BAJA_CONFIANZA
A,08030458.JPG,0.426076,PASA,Herpailurus yagouaroundi,0.258502,BAJA_CONFIANZA
A,08030483.JPG,0.4027,PASA,Herpailurus yagouaroundi,0.260459,BAJA_CONFIANZA
A,08030484.JPG,0.417775,PASA,Panthera onca,0.265297,BAJA_CONFIANZA
A,08030510.JPG,0.40759,PASA,Herpailurus yagouaroundi,0.261658,BAJA_CONFIANZA
A,08030523.JPG,0.447125,PASA,Panthera onca,0.266568,BAJA_CONFIANZA
A,08030525.JPG,0.436598,PASA,Panthera onca,0.257127,BAJA_CONFIANZA
A,08030529.JPG,0.440262,PASA,Herpailurus yagouaroundi,0.277983,BAJA_CONFIANZA
A,08030537.JPG,0.434443,PASA,Herpailurus yagouaroundi,0.267799,BAJA_CONFIANZA
A,08030556.JPG,0.423174,PASA,Panthera onca,0.251071,BAJA_CONFIANZA
A,08030557.JPG,0.42553,PASA,Panthera onca,0.269285,BAJA_CONFIANZA
A,08030562.JPG,0.44054,PASA,Panthera onca,0.256904,BAJA_CONFIANZA
A,08030566.JPG,0.423169,PASA,Panthera onca,0.263927,BAJA_CONFIANZA
A,08030577.JPG,0.434756,PASA,Panthera onca,0.262124,BAJA_CONFIANZA
A,08030602.JPG,0.453055,PASA,Panthera onca,0.255063,BAJA_CONFIANZA
A,08030613.JPG,0.443411,PASA,Panthera onca,0.257341,BAJA_CONFIANZA
A,08030621.JPG,0.488826,PASA,Panthera onca,0.243504,BAJA_CONFIANZA
A,08030623.JPG,0.502481,PASA,Panthera onca,0.250236,BAJA_CONFIANZA
A,08030633.JPG,0.453751,PASA,Panthera onca,0.258779,BAJA_CONFIANZA
A,08030641.JPG,0.500867,PASA,Herpailurus yagouaroundi,0.25963,BAJA_CONFIANZA
A,08030661.JPG,0.470668,PASA,Panthera onca,0.258207,BAJA_CONFIANZA
A,08030668.JPG,0.480707,PASA,Herpailurus yagouaroundi,0.265419,BAJA_CONFIANZA
A,08030691.JPG,0.505192,PASA,Panthera onca,0.242644,BAJA_CONFIANZA
A,08030701.JPG,0.482705,PASA,Herpailurus yagouaroundi,0.261138,BAJA_CONFIANZA
A,08030706.JPG,0.496078,PASA,Herpailurus yagouaroundi,0.261535,BAJA_CONFIANZA
A,08030725.JPG,0.412514,PASA,Herpailurus yagouaroundi,0.23058,BAJA_CONFIANZA
A,08030748.JPG,0.415122,PASA,Panthera onca,0.238189,BAJA_CONFIANZA
A,08030749.JPG,0.4027,PASA,Panthera onca,0.232107,BAJA_CONFIANZA
A,08030769.JPG,0.427177,PASA,Panthera onca,0.253284,BAJA_CONFIANZA
A,08040771.JPG,0.468104,PASA,Sus scrofa,0.2351,BAJA_CONFIANZA
A,08040772.JPG,0.55981,PASA,Cyanocorax chrysops,0.240307,BAJA_CONFIANZA
A,08040775.JPG,0.436857,PASA,Sus scrofa,0.23663,BAJA_CONFIANZA
A,08040777.JPG,0.374553,PASA,Panthera onca,0.242886,BAJA_CONFIANZA
A,08040788.JPG,0.43273,PASA,Panthera onca,0.252054,BAJA_CONFIANZA
A,08040799.JPG,0.443455,PASA,Panthera onca,0.260753,BAJA_CONFIANZA
A,08040806.JPG,0.432065,PASA,Cuniculus paca,0.253402,BAJA_CONFIANZA
A,08040808.JPG,0.425902,PASA,Panthera onca,0.253033,BAJA_CONFIANZA
A,08040815.JPG,0.418163,PASA,Panthera onca,0.264841,BAJA_CONFIANZA
A,08040825.JPG,0.402059,PASA,Herpailurus yagouaroundi,0.257062,BAJA_CONFIANZA
A,08040826.JPG,0.406664,PASA,Herpailurus yagouaroundi,0.238462,BAJA_CONFIANZA
A,08040842.JPG,0.406593,PASA,Panthera onca,0.250835,BAJA_CONFIANZA
A,08040844.JPG,0.417585,PASA,Panthera onca,0.258748,BAJA_CONFIANZA
A,08040860.JPG,0.407502,PASA,Panthera onca,0.25546,BAJA_CONFIANZA
A,08040869.JPG,0.430173,PASA,Herpailurus yagouaroundi,0.252539,BAJA_CONFIANZA
A,08040871.JPG,0.411254,PASA,Herpailurus yagouaroundi,0.253084,BAJA_CONFIANZA
A,08040872.JPG,0.434136,PASA,Herpailurus yagouaroundi,0.267122,BAJA_CONFIANZA
A,08040873.JPG,0.436662,PASA,Herpailurus yagouaroundi,0.255763,BAJA_CONFIANZA
A,08040875.JPG,0.430351,PASA,Herpailurus yagouaroundi,0.245713,BAJA_CONFIANZA
A,08040879.JPG,0.4168,PASA,Panthera onca,0.262296,BAJA_CONFIANZA
A,08040885.JPG,0.422381,PASA,Herpailurus yagouaroundi,0.251764,BAJA_CONFIANZA
A,08040902.JPG,0.420672,PASA,Panthera onca,0.255183,BAJA_CONFIANZA
A,08040919.JPG,0.420031,PASA,Panthera onca,0.252447,BAJA_CONFIANZA
A,08040924.JPG,0.432831,PASA,Panthera onca,0.241511,BAJA_CONFIANZA
A,08040947.JPG,0.404239,PASA,Panthera onca,0.29215,BAJA_CONFIANZA
A,08040948.JPG,0.399816,PASA,Panthera onca,0.26376,BAJA_CONFIANZA
A,08040958.JPG,0.416708,PASA,Panthera onca,0.262253,BAJA_CONFIANZA
A,08040960.JPG,0.408326,PASA,Panthera onca,0.267271,BAJA_CONFIANZA
A,08040981.JPG,0.40746,PASA,Panthera onca,0.266923,BAJA_CONFIANZA
A,08040982.JPG,0.429212,PASA,Herpailurus yagouaroundi,0.265494,BAJA_CONFIANZA
